cshom,prccm,tic
131269000.0,38.37,LEG
86603000.0,38.28,LM
285431000.0,48.46,LEN
37744000.0,38.51,LEN.B
77636000.0,11.6632,LEFUF
77636000.0,15.1,LNF.
63622000.0,0.0065,LCAR
291237000.0,19.23,JEF
373000.0,1.4,STSC
970831000.0,110.79,LLY
276340000.0,26.1,BBWI
62800000.0,82.32,LECO
202343000.0,64.45,LNC
367501000.0,51.26,LBLCF
367501000.0,67.05,L.
282808000.0,363.54,LMT
304888000.0,54.67,L
251148000.0,6.98,RRC
41255000.0,1.05,FACO
,0.0,LRNT
123445000.0,26.22,LPX
782916000.0,100.91,LOW
29876000.0,1.08,LUB
17531000.0,20.2,LDL
4873000.0,8.15,LGL
61521000.0,32.78,MDC
198083000.0,25.8,MDU
,0.0001,PMEA
17954000.0,58.53,MTSC
58841000.0,11.1,PALDF
58841000.0,14.51,PDL.
34668000.0,73.08,MGEE
323083000.0,49.7,MGA
323083000.0,65.16,MG.
280018000.0,33.971,MKTAY
1281000.0,0.1,MNII
35788000.0,17.8,MTW
770000.0,0.63,MAPL
817916000.0,14.21,MRO
22956000.0,32.96,MCS
2000000.0,2.3,MARPS
740894000.0,18.22,HST
511344000.0,99.75,MMC
293549000.0,39.24,MAS
8940000.0,3.85,CCUR
455578000.0,0.0063,BTAX
2453053000.0,8.331,PCRHY
345425000.0,11.21,MAT
19300000.0,10.29,MLP
2016000.0,34.0,MAYS
122455000.0,155.01,MKC
9552000.0,154.97,MKC.V
181659000.0,9.66,MDRIQ
763556000.0,207.66,MCD
24236000.0,62.15,MGRC
246081000.0,227.79,SPGI
186377000.0,134.39,MCK
2055000.0,24.35,MCRAA
429000.0,23.5,MCRAB
9571000.0,1.05,SLNH
12252000.0,13.0,GENC
35675000.0,0.004,INVI
1341157000.0,97.39,MDT
7696000.0,1.2,PSSR
3907000.0,0.07,MGTC
1299092000.0,54.49,CVS
2574644000.0,83.85,MRK
40070000.0,55.06,MDP
5098000.0,60.5,MDPEB
3901000.0,244.34,MLAB
1864000.0,11.49,MTR
13120000.0,29.54,MSB
12600000.0,0.0079,MTRT
37059000.0,28.57,MEI
11736000.0,38.27,EVI
2040000.0,3.95,MXC
27157000.0,9.0,SIEB
158170000.0,8.7,MIK
1103803000.0,38.59,MU
